,_id,favorites,geo,hashtags,id,mentions,retweets,text,user
127,598506c276d31349b060b297,0,,,892586765856382976,,0,"Current Conditions : 76.5F / 24.7C, Light Rain - 11:22 PM EDT Aug. 1 http:// dlvr.it/Pb9dY6",Markbyrd777
128,598506c276d31349b060b298,0,,#nature #plants #green #rain #Florida #raindrops,892582218262040576,,0,"""Nature does nothing uselessly""-Aristotle #nature #plants #green #rain #Florida #raindrops … https://www. instagram.com/p/BXRpQQhAsF9/",yayitsbecca
129,598506c276d31349b060b299,0,,,892572152721022976,,0,Wow! That's a lot of rain !!! https:// twitter.com/7weather/statu s/892571599408443393 …,AnotherTweet
130,598506c276d31349b060b29a,0,,#InsaneRain #crazy,892571802714636288,,0,Where’d this rain come from??!!! #InsaneRain #crazy,Ladezire
131,598506c276d31349b060b29b,0,,,892567000756752385,,0,You try to cram 8 inches of rain into ANY city and see what happens.,joelapp
132,598506c276d31349b060b29c,0,,,892566001019228160,,0,Great! Because a lot of rain is on its way lol.,g0ld_mag1c
133,598506c276d31349b060b29d,5,,,892565010425274374,,0,do you ever spend time outside and it doesn't rain all day and then suddenly it starts pouring down rain hard for five minutes and stops,pameatsbabies
134,598506c276d31349b060b29e,7,,,892564422119522304,,0,"I guess they were trying to hide Trump's "" rain man"" responses. We see them again! It's every time he speaks without a script.",aandbz
135,598506c276d31349b060b29f,0,,,892559507892699138,,0,Any suggestions for how to get directv on a smarttv (without screen mirroring) when the rain kills the signal during football games?,fsutanker
136,598506c276d31349b060b2a0,0,,,892554732300054528,,0,A Lesson Learned From Walking In The Rain http:// vanessaleenic.com/2017/08/02/a-l esson-learned-from-walking-in-the-rain/ … pic.twitter.com/kfVLtc6Nmy,VanessaLeeNic
137,598506c276d31349b060b2a1,0,,,892553638564032518,,0,The whale dies. Alone. In the rain .,the_deep_magic
138,598506c276d31349b060b2a2,1,,,892549065694736384,,0,"Yes, you have to watch the sun. It's cool here after all the rain .",rkmeeks7
139,598506c276d31349b060b2a3,2,,,892539054977318913,,0,she's so cute and this week she turned up again and looked skinny and a bit downtrodden especially after the rain,mirrordarkling
140,598506c276d31349b060b2a4,0,,,892535865381195776,,0,"Happy Belated Birthday Momma Jo! I was celebrating at Harry World with a frozen butterbeer, and the lovely rain . Hope your day was great!",artdebogallery
141,598506c276d31349b060b2a5,5,,,892528002608898049,,3,Marco Rubio has not even done a shout out to Miami which is flooded right now. Rain dumps a sign of climate change. https:// twitter.com/christophcrews /status/892527283684220928 …,LeChatNoire4
142,598506c276d31349b060b2a6,1,,,892526913545261056,,0,I was sad and jack made buffalo wings out of cauliflower and now I'm happy,RainAudet
143,598506c276d31349b060b2a7,2,,,892525420742049793,@RachTheRapper,0,"Me: Could you imagine riding home in an open jeep in the rain ?! @RachTheRapper :I mean yeah, I've got a pretty good imagination",jennlikestweets
144,598506c276d31349b060b2a8,1,,,892519237675307008,,0,Just trying to relax on a rainy Tuesday evening. Love the rain .,MVirginia82
145,598506c276d31349b060b2a9,0,,,892517614781698049,@united,0,United Airlines leaves dog in pet carrier sitting outside in the cold rain @united never use this airline http:// honesttopaws.com/united-airline s-dog-controversy/?pas=1&as=589TTD …,agada1
146,598506c276d31349b060b2aa,0,,,892514640764313600,,0,Stupid rain ..... waiting until it stops... sigh...always something,mianji8579
